update_id,epoch,batch_index,sample_index,global_sample_index,tile_index,x_size,d_size,bl,batch_loss
0,0,0,0,0,52,64,64,16,3.62567592
1,0,0,20,20,52,64,64,23,3.62567592
2,0,0,40,40,52,64,64,16,3.62567592
3,0,0,60,60,52,64,64,39,3.62567592
4,0,1,16,80,52,64,64,27,3.35084677
5,0,1,36,100,52,64,64,23,3.35084677
6,0,1,56,120,52,64,64,29,3.35084677
7,0,2,12,140,52,64,64,27,3.29455042
8,0,2,32,160,52,64,64,21,3.29455042
9,0,2,52,180,52,64,64,25,3.29455042
10,0,3,8,200,52,64,64,15,3.32183838
11,0,3,28,220,52,64,64,28,3.32183838
12,0,3,48,240,52,64,64,20,3.32183838
13,0,4,4,260,52,64,64,13,3.34622312
14,0,4,24,280,52,64,64,11,3.34622312
15,0,4,44,300,52,64,64,33,3.34622312
16,0,5,0,320,52,64,64,13,2.86855698
17,0,5,20,340,52,64,64,31,2.86855698
18,0,5,40,360,52,64,64,8,2.86855698
19,0,5,60,380,52,64,64,25,2.86855698
20,0,6,16,400,52,64,64,16,3.11119652
21,0,6,36,420,52,64,64,19,3.11119652
22,0,6,56,440,52,64,64,21,3.11119652
23,0,7,12,460,52,64,64,19,2.87748885
24,0,7,32,480,52,64,64,11,2.87748885
25,0,7,52,500,52,64,64,35,2.87748885
26,0,8,8,520,52,64,64,21,3.10468531
27,0,8,28,540,52,64,64,10,3.10468531
28,0,8,48,560,52,64,64,34,3.10468531
29,0,9,4,580,52,64,64,25,2.60105991
30,0,9,24,600,52,64,64,20,2.60105991
31,0,9,44,620,52,64,64,12,2.60105991
32,0,10,0,640,52,64,64,25,2.64422536
33,0,10,20,660,52,64,64,21,2.64422536
34,0,10,40,680,52,64,64,12,2.64422536
35,0,10,60,700,52,64,64,10,2.64422536
36,0,11,16,720,52,64,64,15,2.68902707
37,0,11,36,740,52,64,64,26,2.68902707
38,0,11,56,760,52,64,64,18,2.68902707
39,0,12,12,780,52,64,64,14,2.32143211
40,0,12,32,800,52,64,64,21,2.32143211
41,0,12,52,820,52,64,64,22,2.32143211
42,0,13,8,840,52,64,64,12,2.01747608
43,0,13,28,860,52,64,64,26,2.01747608
44,0,13,48,880,52,64,64,20,2.01747608
45,0,14,4,900,52,64,64,19,2.15380454
46,0,14,24,920,52,64,64,36,2.15380454
47,0,14,44,940,52,64,64,13,2.15380454
48,0,15,0,960,52,64,64,15,2.37941599
49,0,15,20,980,52,64,64,15,2.37941599
50,0,15,40,1000,52,64,64,12,2.37941599
51,0,15,60,1020,52,64,64,29,2.37941599
52,0,16,16,1040,52,64,64,17,2.46113539
53,0,16,36,1060,52,64,64,13,2.46113539
54,0,16,56,1080,52,64,64,19,2.46113539
55,0,17,12,1100,52,64,64,17,2.05717111
56,0,17,32,1120,52,64,64,6,2.05717111
57,0,17,52,1140,52,64,64,12,2.05717111
58,0,18,8,1160,52,64,64,16,2.43314791
59,0,18,28,1180,52,64,64,15,2.43314791
60,0,18,48,1200,52,64,64,15,2.43314791
61,0,19,4,1220,52,64,64,13,2.07976079
62,0,19,24,1240,52,64,64,14,2.07976079
63,0,19,44,1260,52,64,64,17,2.07976079
64,0,20,0,1280,52,64,64,15,2.12839651
65,0,20,20,1300,52,64,64,18,2.12839651
66,0,20,40,1320,52,64,64,23,2.12839651
67,0,20,60,1340,52,64,64,11,2.12839651
68,0,21,16,1360,52,64,64,29,1.95492303
69,0,21,36,1380,52,64,64,10,1.95492303
70,0,21,56,1400,52,64,64,22,1.95492303
71,0,22,12,1420,52,64,64,10,2.20671272
72,0,22,32,1440,52,64,64,21,2.20671272
73,0,22,52,1460,52,64,64,54,2.20671272
74,0,23,8,1480,52,64,64,29,2.00373387
75,0,23,28,1500,52,64,64,23,2.00373387
76,0,23,48,1520,52,64,64,15,2.00373387
77,0,24,4,1540,52,64,64,21,1.99332333
78,0,24,24,1560,52,64,64,19,1.99332333
79,0,24,44,1580,52,64,64,8,1.99332333
80,0,25,0,1600,52,64,64,13,2.06239247
81,0,25,20,1620,52,64,64,17,2.06239247
82,0,25,40,1640,52,64,64,6,2.06239247
83,0,25,60,1660,52,64,64,26,2.06239247
84,0,26,16,1680,52,64,64,20,1.91219974
85,0,26,36,1700,52,64,64,14,1.91219974
86,0,26,56,1720,52,64,64,9,1.91219974
87,0,27,12,1740,52,64,64,18,1.96453917
88,0,27,32,1760,52,64,64,19,1.96453917
89,0,27,52,1780,52,64,64,11,1.96453917
90,0,28,8,1800,52,64,64,17,1.98551631
91,0,28,28,1820,52,64,64,11,1.98551631
92,0,28,48,1840,52,64,64,11,1.98551631
93,0,29,4,1860,52,64,64,13,1.91972888
94,0,29,24,1880,52,64,64,20,1.91972888
95,0,29,44,1900,52,64,64,20,1.91972888
96,0,30,0,1920,52,64,64,13,1.78609502
97,0,30,20,1940,52,64,64,20,1.78609502
98,0,30,40,1960,52,64,64,22,1.78609502
99,0,30,60,1980,52,64,64,17,1.78609502
100,0,31,16,2000,52,64,64,10,1.94471312
101,0,31,36,2020,52,64,64,29,1.94471312
102,0,31,56,2040,52,64,64,20,1.94471312
103,0,32,12,2060,52,64,64,3,1.62917638
104,0,32,32,2080,52,64,64,12,1.62917638
105,0,32,52,2100,52,64,64,39,1.62917638
106,0,33,8,2120,52,64,64,13,1.50543618
107,0,33,28,2140,52,64,64,9,1.50543618
108,0,33,48,2160,52,64,64,15,1.50543618
109,0,34,4,2180,52,64,64,29,1.74646449
110,0,34,24,2200,52,64,64,30,1.74646449
111,0,34,44,2220,52,64,64,15,1.74646449
112,0,35,0,2240,52,64,64,24,1.96512592
113,0,35,20,2260,52,64,64,24,1.96512592
114,0,35,40,2280,52,64,64,15,1.96512592
115,0,35,60,2300,52,64,64,23,1.96512592
116,0,36,16,2320,52,64,64,18,1.98360765
117,0,36,36,2340,52,64,64,4,1.98360765
118,0,36,56,2360,52,64,64,2,1.98360765
119,0,37,12,2380,52,64,64,15,1.86002362
120,0,37,32,2400,52,64,64,14,1.86002362
121,0,37,52,2420,52,64,64,19,1.86002362
122,0,38,8,2440,52,64,64,19,1.70368075
123,0,38,28,2460,52,64,64,21,1.70368075
124,0,38,48,2480,52,64,64,12,1.70368075
125,0,39,4,2500,52,64,64,24,1.68097353
126,0,39,24,2520,52,64,64,10,1.68097353
127,0,39,44,2540,52,64,64,20,1.68097353
128,0,40,0,2560,52,64,64,8,1.76767254
129,0,40,20,2580,52,64,64,16,1.76767254
130,0,40,40,2600,52,64,64,18,1.76767254
131,0,40,60,2620,52,64,64,12,1.76767254
132,0,41,16,2640,52,64,64,11,1.48569047
133,0,41,36,2660,52,64,64,19,1.48569047
134,0,41,56,2680,52,64,64,19,1.48569047
135,0,42,12,2700,52,64,64,14,1.68869662
136,0,42,32,2720,52,64,64,10,1.68869662
137,0,42,52,2740,52,64,64,27,1.68869662
138,0,43,8,2760,52,64,64,17,1.46508622
139,0,43,28,2780,52,64,64,16,1.46508622
140,0,43,48,2800,52,64,64,13,1.46508622
141,0,44,4,2820,52,64,64,17,1.4599129
142,0,44,24,2840,52,64,64,16,1.4599129
143,0,44,44,2860,52,64,64,21,1.4599129
144,0,45,0,2880,52,64,64,16,1.54634368
145,0,45,20,2900,52,64,64,29,1.54634368
146,0,45,40,2920,52,64,64,21,1.54634368
147,0,45,60,2940,52,64,64,14,1.54634368
148,0,46,16,2960,52,64,64,5,1.38787341
149,0,46,36,2980,52,64,64,15,1.38787341
150,0,46,56,3000,52,64,64,6,1.38787341
151,0,47,12,3020,52,64,64,20,1.47766185
152,0,47,32,3040,52,64,64,19,1.47766185
153,0,47,52,3060,52,64,64,3,1.47766185
154,0,48,8,3080,52,64,64,31,1.35574651
155,0,48,28,3100,52,64,64,7,1.35574651
156,0,48,48,3120,52,64,64,8,1.35574651
157,0,49,4,3140,52,64,64,3,1.34152222
158,0,49,24,3160,52,64,64,17,1.34152222
159,0,49,44,3180,52,64,64,7,1.34152222
160,0,50,0,3200,52,64,64,2,1.26654685
161,0,50,20,3220,52,64,64,10,1.26654685
162,0,50,40,3240,52,64,64,11,1.26654685
163,0,50,60,3260,52,64,64,11,1.26654685
164,0,51,16,3280,52,64,64,21,1.51724362
165,0,51,36,3300,52,64,64,25,1.51724362
166,0,51,56,3320,52,64,64,24,1.51724362
167,0,52,12,3340,52,64,64,23,1.68566203
168,0,52,32,3360,52,64,64,28,1.68566203
169,0,52,52,3380,52,64,64,28,1.68566203
170,0,53,8,3400,52,64,64,17,1.40982997
171,0,53,28,3420,52,64,64,8,1.40982997
172,0,53,48,3440,52,64,64,14,1.40982997
173,0,54,4,3460,52,64,64,30,1.26735926
174,0,54,24,3480,52,64,64,7,1.26735926
175,0,54,44,3500,52,64,64,17,1.26735926
176,0,55,0,3520,52,64,64,15,1.31071436
177,0,55,20,3540,52,64,64,20,1.31071436
178,0,55,40,3560,52,64,64,17,1.31071436
179,0,55,60,3580,52,64,64,7,1.31071436
180,0,56,16,3600,52,64,64,8,1.19311738
181,0,56,36,3620,52,64,64,13,1.19311738
182,0,56,56,3640,52,64,64,20,1.19311738
183,0,57,12,3660,52,64,64,21,1.24284649
184,0,57,32,3680,52,64,64,7,1.24284649
185,0,57,52,3700,52,64,64,22,1.24284649
186,0,58,8,3720,52,64,64,4,1.46385908
187,0,58,28,3740,52,64,64,17,1.46385908
188,0,58,48,3760,52,64,64,11,1.46385908
189,0,59,4,3780,52,64,64,10,1.40874648
190,0,59,24,3800,52,64,64,9,1.40874648
191,0,59,44,3820,52,64,64,10,1.40874648
192,0,60,0,3840,52,64,64,17,1.29738235
193,0,60,20,3860,52,64,64,4,1.29738235
194,0,60,40,3880,52,64,64,14,1.29738235
195,0,60,60,3900,52,64,64,4,1.29738235
196,0,61,16,3920,52,64,64,15,1.41280508
197,0,61,36,3940,52,64,64,16,1.41280508
198,0,61,56,3960,52,64,64,21,1.41280508
199,0,62,12,3980,52,64,64,3,1.23190117
200,0,62,32,4000,52,64,64,23,1.23190117
201,0,62,52,4020,52,64,64,4,1.23190117
202,0,63,8,4040,52,64,64,14,1.37401056
203,0,63,28,4060,52,64,64,19,1.37401056
204,0,63,48,4080,52,64,64,14,1.37401056
205,0,64,4,4100,52,64,64,26,1.32649505
206,0,64,24,4120,52,64,64,25,1.32649505
207,0,64,44,4140,52,64,64,3,1.32649505
208,0,65,0,4160,52,64,64,19,1.41892946
209,0,65,20,4180,52,64,64,20,1.41892946
210,0,65,40,4200,52,64,64,18,1.41892946
211,0,65,60,4220,52,64,64,9,1.41892946
212,0,66,16,4240,52,64,64,2,1.29787838
213,0,66,36,4260,52,64,64,21,1.29787838
214,0,66,56,4280,52,64,64,23,1.29787838
215,0,67,12,4300,52,64,64,5,1.32603431
216,0,67,32,4320,52,64,64,1,1.32603431
217,0,67,52,4340,52,64,64,15,1.32603431
218,0,68,8,4360,52,64,64,2,1.12268043
219,0,68,28,4380,52,64,64,26,1.12268043
220,0,68,48,4400,52,64,64,8,1.12268043
221,0,69,4,4420,52,64,64,9,1.00521278
222,0,69,24,4440,52,64,64,5,1.00521278
223,0,69,44,4460,52,64,64,9,1.00521278
224,0,70,0,4480,52,64,64,4,1.2042551
225,0,70,20,4500,52,64,64,16,1.2042551
226,0,70,40,4520,52,64,64,13,1.2042551
227,0,70,60,4540,52,64,64,8,1.2042551
228,0,71,16,4560,52,64,64,23,1.19489539
229,0,71,36,4580,52,64,64,5,1.19489539
230,0,71,56,4600,52,64,64,6,1.19489539
231,0,72,12,4620,52,64,64,17,1.35536838
232,0,72,32,4640,52,64,64,1,1.35536838
233,0,72,52,4660,52,64,64,16,1.35536838
234,0,73,8,4680,52,64,64,18,1.357144
235,0,73,28,4700,52,64,64,21,1.357144
236,0,73,48,4720,52,64,64,20,1.357144
237,0,74,4,4740,52,64,64,2,1.07292473
238,0,74,24,4760,52,64,64,2,1.07292473
239,0,74,44,4780,52,64,64,22,1.07292473
240,0,75,0,4800,52,64,64,15,1.49545538
241,0,75,20,4820,52,64,64,10,1.49545538
242,0,75,40,4840,52,64,64,7,1.49545538
243,0,75,60,4860,52,64,64,17,1.49545538
244,0,76,16,4880,52,64,64,9,1.2232672
245,0,76,36,4900,52,64,64,10,1.2232672
246,0,76,56,4920,52,64,64,18,1.2232672
247,0,77,12,4940,52,64,64,3,1.09209311
248,0,77,32,4960,52,64,64,17,1.09209311
249,0,77,52,4980,52,64,64,22,1.09209311
250,0,78,8,5000,52,64,64,17,1.11574221
251,0,78,28,5020,52,64,64,15,1.11574221
252,0,78,48,5040,52,64,64,10,1.11574221
253,0,79,4,5060,52,64,64,17,1.0813508
254,0,79,24,5080,52,64,64,26,1.0813508
255,0,79,44,5100,52,64,64,4,1.0813508
256,0,80,0,5120,52,64,64,9,1.21844602
257,0,80,20,5140,52,64,64,2,1.21844602
258,0,80,40,5160,52,64,64,17,1.21844602
259,0,80,60,5180,52,64,64,15,1.21844602
260,0,81,16,5200,52,64,64,12,1.34649694
261,0,81,36,5220,52,64,64,13,1.34649694
262,0,81,56,5240,52,64,64,15,1.34649694
263,0,82,12,5260,52,64,64,10,1.2624104
