update_id,epoch,batch_index,sample_index,global_sample_index,tile_index,x_size,d_size,bl,batch_loss
0,0,0,0,0,52,64,64,3,3.60417318
1,0,0,20,20,52,64,64,2,3.60417318
2,0,0,40,40,52,64,64,2,3.60417318
3,0,0,60,60,52,64,64,3,3.60417318
4,0,1,16,80,52,64,64,2,3.48886967
5,0,1,36,100,52,64,64,3,3.48886967
6,0,1,56,120,52,64,64,3,3.48886967
7,0,2,12,140,52,64,64,3,3.30596066
8,0,2,32,160,52,64,64,2,3.30596066
9,0,2,52,180,52,64,64,3,3.30596066
10,0,3,8,200,52,64,64,3,3.14448118
11,0,3,28,220,52,64,64,4,3.14448118
12,0,3,48,240,52,64,64,3,3.14448118
13,0,4,4,260,52,64,64,2,3.29345512
14,0,4,24,280,52,64,64,3,3.29345512
15,0,4,44,300,52,64,64,3,3.29345512
16,0,5,0,320,52,64,64,2,2.95350695
17,0,5,20,340,52,64,64,3,2.95350695
18,0,5,40,360,52,64,64,2,2.95350695
19,0,5,60,380,52,64,64,3,2.95350695
20,0,6,16,400,52,64,64,2,2.70655584
21,0,6,36,420,52,64,64,3,2.70655584
22,0,6,56,440,52,64,64,3,2.70655584
23,0,7,12,460,52,64,64,3,2.79330206
24,0,7,32,480,52,64,64,2,2.79330206
25,0,7,52,500,52,64,64,3,2.79330206
26,0,8,8,520,52,64,64,3,2.94783854
27,0,8,28,540,52,64,64,3,2.94783854
28,0,8,48,560,52,64,64,2,2.94783854
29,0,9,4,580,52,64,64,2,2.43828654
30,0,9,24,600,52,64,64,2,2.43828654
31,0,9,44,620,52,64,64,2,2.43828654
32,0,10,0,640,52,64,64,3,2.57194948
33,0,10,20,660,52,64,64,3,2.57194948
34,0,10,40,680,52,64,64,2,2.57194948
35,0,10,60,700,52,64,64,2,2.57194948
36,0,11,16,720,52,64,64,3,2.55640221
37,0,11,36,740,52,64,64,2,2.55640221
38,0,11,56,760,52,64,64,3,2.55640221
39,0,12,12,780,52,64,64,2,2.52438402
40,0,12,32,800,52,64,64,3,2.52438402
41,0,12,52,820,52,64,64,2,2.52438402
42,0,13,8,840,52,64,64,2,2.04631734
43,0,13,28,860,52,64,64,2,2.04631734
44,0,13,48,880,52,64,64,1,2.04631734
45,0,14,4,900,52,64,64,3,2.26687598
46,0,14,24,920,52,64,64,1,2.26687598
47,0,14,44,940,52,64,64,2,2.26687598
48,0,15,0,960,52,64,64,4,2.41984463
49,0,15,20,980,52,64,64,2,2.41984463
50,0,15,40,1000,52,64,64,2,2.41984463
51,0,15,60,1020,52,64,64,2,2.41984463
52,0,16,16,1040,52,64,64,3,2.285151
53,0,16,36,1060,52,64,64,3,2.285151
54,0,16,56,1080,52,64,64,2,2.285151
55,0,17,12,1100,52,64,64,2,2.14872837
56,0,17,32,1120,52,64,64,2,2.14872837
57,0,17,52,1140,52,64,64,1,2.14872837
58,0,18,8,1160,52,64,64,1,2.11205673
59,0,18,28,1180,52,64,64,2,2.11205673
60,0,18,48,1200,52,64,64,3,2.11205673
61,0,19,4,1220,52,64,64,2,1.91449189
62,0,19,24,1240,52,64,64,2,1.91449189
63,0,19,44,1260,52,64,64,2,1.91449189
64,0,20,0,1280,52,64,64,3,1.70451987
65,0,20,20,1300,52,64,64,3,1.70451987
66,0,20,40,1320,52,64,64,2,1.70451987
67,0,20,60,1340,52,64,64,2,1.70451987
68,0,21,16,1360,52,64,64,2,2.03185415
69,0,21,36,1380,52,64,64,2,2.03185415
